Date,Meal_Type,Day,Month,Year,Students_Registered,Students_Present,Faculty_Present,Staff_Present,Visitors,Hostel_Students,Total_Campus_Population,Scheduled_Classes,Exam_Period,Holiday,Semester_Week,Weather,Temperature_C,Rainfall_mm,Humidity,Campus_Event,Special_Menu,Menu_Category,Meal_Price,Previous_Day_Meals_Sold,Previous_Week_Average,Meals_Sold,Meals_Prepared,Food_Waste_kg
2020-01-15,Breakfast,Wednesday,January,2020,1247,1075,141,94,12,478,1322,4,No,No,3,Sunny,23,0,56,No Event,No,South Indian,75,1649,1488,904,944,3.23
2020-01-16,Breakfast,Thursday,January,2020,2224,1991,189,84,13,556,2277,5,No,No,6,Sunny,23,0,75,No Event,No,Continental,43,1350,2110,1327,1361,3.2
2020-01-17,Lunch,Friday,January,2020,2330,1894,108,130,42,980,2174,3,No,No,12,Sunny,26,0,47,No Event,No,Fast Food,58,1081,1713,2514,2550,2.89
2020-01-18,Lunch,Saturday,January,2020,1372,1169,194,102,30,814,1495,6,No,No,1,Rainy,21,37,74,Sports Day,Yes,Indian,40,1344,2327,1920,2040,13.07
2020-01-19,Lunch,Sunday,January,2020,1705,1394,81,59,7,307,1541,3,No,No,12,Sunny,19,0,49,Cultural Fest,No,Continental,67,2283,2490,1712,1797,7.8
2020-01-20,Breakfast,Monday,January,2020,2353,1780,169,90,0,635,2039,5,Yes,No,10,Sunny,37,0,53,No Event,No,Chinese,76,1899,771,1510,1611,8.1
2020-01-21,Lunch,Tuesday,January,2020,1597,1310,184,66,39,918,1599,2,No,No,5,Sunny,32,0,72,No Event,No,Chinese,95,2353,934,1717,1840,18.39
2020-01-22,Breakfast,Wednesday,January,2020,1493,1085,136,120,16,339,1357,2,No,No,9,Sunny,19,0,88,No Event,No,Indian,60,1329,1631,848,987,17.95
2020-01-23,Breakfast,Thursday,January,2020,1751,1369,136,115,40,730,1660,7,No,No,8,Sunny,31,0,81,No Event,No,Chinese,81,2146,2385,1153,1249,9.4
2020-01-24,Lunch,Friday,January,2020,2049,1504,121,60,12,999,1697,6,No,No,1,Sunny,36,0,49,No Event,Yes,Indian,66,1492,2439,1966,2064,12.7
2020-01-25,Lunch,Saturday,January,2020,2239,1537,194,112,46,629,1889,6,No,No,16,Rainy,29,32,68,No Event,No,Chinese,72,854,981,1915,1968,4.25
2020-01-26,Lunch,Sunday,January,2020,2084,1555,128,116,26,542,1825,6,Yes,No,14,Sunny,26,0,60,No Event,Yes,South Indian,64,2385,2485,2547,2602,5.15
2020-01-27,Breakfast,Monday,January,2020,2203,1995,136,95,12,464,2238,3,No,No,5,Sunny,24,0,78,No Event,No,Continental,81,1302,1832,1370,1497,15.49
2020-01-28,Lunch,Tuesday,January,2020,2426,1854,150,69,39,779,2112,5,No,No,14,Sunny,28,0,68,No Event,Yes,Indian,81,928,1481,2448,2522,8.93
2020-01-29,Lunch,Wednesday,January,2020,1333,1165,97,62,26,582,1350,5,No,No,8,Sunny,22,0,71,No Event,No,Fast Food,67,1303,959,1558,1598,3.55
2020-01-30,Breakfast,Thursday,January,2020,1970,1384,149,136,31,394,1700,5,No,No,3,Sunny,21,0,77,No Event,No,Continental,53,1154,1704,1018,1058,3.72
2020-01-31,Lunch,Friday,January,2020,1707,1326,184,66,11,430,1587,2,No,No,17,Sunny,34,0,77,No Event,No,Fast Food,50,794,1905,1841,1982,18.67
2020-02-01,Breakfast,Saturday,February,2020,2289,1566,183,142,42,508,1933,5,No,No,14,Sunny,29,0,75,No Event,No,Continental,58,1021,670,1138,1192,5.09
2020-02-02,Breakfast,Sunday,February,2020,1679,1161,106,81,12,821,1360,6,No,No,5,Cloudy,30,0,48,Placement Drive,No,Indian,69,1082,2273,907,941,3.99
2020-02-03,Dinner,Monday,February,2020,2062,1722,197,148,15,840,2082,3,No,No,1,Rainy,22,16,73,No Event,No,Chinese,89,799,1906,1217,1292,6.61
2020-02-04,Dinner,Tuesday,February,2020,1658,1379,133,148,33,959,1693,2,No,No,15,Rainy,23,74,85,No Event,No,South Indian,81,2222,2119,1070,1134,8.7
2020-02-05,Dinner,Wednesday,February,2020,1825,1303,199,147,5,877,1654,7,No,No,16,Sunny,31,0,68,Placement Drive,No,Chinese,114,2456,812,1009,1111,11.95
2020-02-06,Lunch,Thursday,February,2020,1358,1075,184,134,47,780,1440,3,No,No,15,Rainy,20,32,78,No Event,No,Chinese,82,556,1480,1535,1575,4.23
2020-02-07,Breakfast,Friday,February,2020,1360,1236,103,65,17,823,1421,4,No,No,3,Sunny,32,0,54,No Event,No,Continental,104,997,668,797,817,2.51
2020-02-08,Lunch,Saturday,February,2020,2477,1739,176,72,16,824,2003,6,No,No,9,Sunny,22,0,62,No Event,No,Indian,52,2405,870,1950,2048,10.15
2020-02-09,Lunch,Sunday,February,2020,2139,1402,174,60,46,663,1682,2,Yes,Yes,9,Cloudy,22,0,59,No Event,No,Fast Food,56,2151,1863,508,616,14.63
2020-02-10,Breakfast,Monday,February,2020,1354,1144,113,63,38,722,1358,6,Yes,No,8,Sunny,33,0,73,No Event,No,Fast Food,57,1719,1884,1040,1104,7.08
2020-02-11,Lunch,Tuesday,February,2020,1685,1122,101,116,13,913,1352,3,No,No,16,Sunny,35,0,52,No Event,No,Indian,51,1535,1157,1329,1363,4.76
2020-02-12,Breakfast,Wednesday,February,2020,1631,1539,167,120,6,984,1832,5,No,No,5,Sunny,34,0,46,Cultural Fest,No,Continental,115,672,2085,1394,1447,7.89
2020-02-13,Dinner,Thursday,February,2020,2250,1873,142,94,5,512,2114,4,No,No,13,Sunny,28,0,42,No Event,No,South Indian,52,860,1728,1289,1424,10.95
2020-02-14,Breakfast,Friday,February,2020,2203,1742,115,124,11,468,1992,6,No,No,14,Cloudy,20,0,83,No Event,No,South Indian,103,2396,2438,1380,1478,9.22
2020-02-15,Lunch,Saturday,February,2020,2235,1741,171,82,33,507,2027,4,Yes,No,9,Rainy,22,26,63,No Event,No,Fast Food,116,2026,1521,2550,2692,15.53
2020-02-16,Lunch,Sunday,February,2020,1266,1040,163,132,0,726,1335,3,No,No,1,Cloudy,32,0,44,No Event,No,Indian,42,2425,2151,1419,1491,10.72
2020-02-17,Lunch,Monday,February,2020,1741,1178,140,94,49,873,1461,6,No,No,9,Cloudy,34,0,89,No Event,Yes,Indian,51,2390,961,1602,1644,4.39
2020-02-18,Lunch,Tuesday,February,2020,1295,1203,161,103,28,820,1495,5,No,No,11,Sunny,28,0,48,No Event,Yes,Chinese,42,1560,1642,1757,1838,7.3
2020-02-19,Breakfast,Wednesday,February,2020,1414,1184,121,100,27,936,1432,4,No,No,11,Rainy,31,68,86,No Event,No,Indian,53,1895,2037,843,892,6.49
2020-02-20,Dinner,Thursday,February,2020,1393,982,175,136,4,973,1297,2,No,No,6,Rainy,29,13,79,Cultural Fest,No,Fast Food,55,1112,609,941,1085,17.54
2020-02-21,Lunch,Friday,February,2020,2084,1706,112,72,20,318,1910,7,No,No,4,Rainy,25,41,68,Cultural Fest,No,Indian,64,1668,1430,2394,2534,18.27
2020-02-22,Dinner,Saturday,February,2020,1238,854,153,78,38,785,1123,3,No,No,5,Cloudy,35,0,82,No Event,No,Continental,78,2472,1693,531,641,13.36
2020-02-23,Dinner,Sunday,February,2020,2138,1400,88,55,46,386,1589,6,No,No,15,Sunny,28,0,75,No Event,No,Chinese,50,1555,814,876,896,2.38
2020-02-24,Lunch,Monday,February,2020,2138,1794,198,88,37,829,2117,2,No,No,2,Rainy,29,39,86,Sports Day,Yes,Fast Food,90,1954,1679,3227,3346,13.02
2020-02-25,Dinner,Tuesday,February,2020,1405,1186,104,54,33,536,1377,5,No,No,15,Sunny,19,0,69,Cultural Fest,Yes,Fast Food,47,1264,2325,1299,1429,14.73
2020-02-26,Breakfast,Wednesday,February,2020,2141,1766,92,145,20,473,2023,5,No,No,9,Sunny,22,0,80,Sports Day,No,Chinese,100,554,643,1595,1661,7.45
2020-02-27,Breakfast,Thursday,February,2020,1754,1236,126,89,23,403,1474,4,Yes,No,1,Sunny,26,0,47,Sports Day,Yes,Continental,71,2047,1819,1210,1319,9.03
2020-02-28,Breakfast,Friday,February,2020,1683,1398,193,139,48,536,1778,3,No,No,17,Rainy,34,65,54,No Event,No,Indian,85,2106,1193,1163,1275,12.63
2020-02-29,Lunch,Saturday,February,2020,1970,1313,124,127,12,937,1576,7,No,No,5,Cloudy,22,0,66,No Event,Yes,Fast Food,53,2188,1719,2080,2179,12.48
2020-03-01,Lunch,Sunday,March,2020,1448,1205,84,131,44,860,1464,6,No,No,11,Rainy,24,48,62,Sports Day,No,South Indian,99,2112,2240,1859,1923,6.73
2020-03-02,Breakfast,Monday,March,2020,2297,1874,110,70,45,401,2099,2,No,No,10,Cloudy,19,0,61,No Event,No,Continental,65,2248,1721,1242,1329,12.26
2020-03-03,Dinner,Tuesday,March,2020,1572,1330,110,108,22,885,1570,6,Yes,Yes,6,Cloudy,35,0,82,No Event,No,Fast Food,79,2104,1280,277,320,4.81
2020-03-04,Lunch,Wednesday,March,2020,2078,1908,177,138,31,470,2254,2,No,No,9,Sunny,22,0,87,No Event,No,Indian,65,1245,2343,2227,2315,8.49
2020-03-05,Breakfast,Thursday,March,2020,2034,1840,169,69,7,437,2085,3,No,No,17,Sunny,20,0,40,No Event,No,Chinese,92,2161,1647,1400,1432,4.71
2020-03-06,Lunch,Friday,March,2020,2070,1954,150,73,46,896,2223,5,No,No,13,Rainy,28,71,40,No Event,Yes,Fast Food,62,1725,1167,2865,2934,7.86
2020-03-07,Breakfast,Saturday,March,2020,1901,1792,120,52,10,977,1974,5,No,No,11,Sunny,20,0,71,No Event,Yes,Chinese,93,1525,1754,1540,1650,14.22
2020-03-08,Dinner,Sunday,March,2020,1337,1178,194,135,12,337,1519,6,No,No,17,Sunny,20,0,72,No Event,No,Fast Food,50,729,1869,994,1095,8.26
2020-03-09,Breakfast,Monday,March,2020,2147,2011,125,121,19,690,2276,6,No,No,7,Sunny,27,0,46,No Event,No,South Indian,79,2263,781,1663,1804,19.56
2020-03-10,Dinner,Tuesday,March,2020,1656,1507,192,106,0,916,1805,4,Yes,No,10,Sunny,24,0,81,No Event,No,Continental,50,2243,2435,1005,1083,10.88
2020-03-11,Lunch,Wednesday,March,2020,2013,1747,131,142,1,716,2021,2,No,No,13,Rainy,21,59,50,Placement Drive,No,Chinese,71,1465,1314,2203,2345,15.62
2020-03-12,Breakfast,Thursday,March,2020,2022,1360,163,120,10,323,1653,4,No,No,7,Sunny,23,0,49,Cultural Fest,No,South Indian,44,626,1290,1495,1547,6.44
2020-03-13,Breakfast,Friday,March,2020,2141,1423,186,119,45,731,1773,2,No,No,17,Sunny,30,0,72,No Event,No,Chinese,118,2230,1350,1193,1330,18.1
2020-03-14,Dinner,Saturday,March,2020,1643,1480,165,119,29,586,1793,3,No,No,4,Sunny,32,0,57,No Event,No,South Indian,53,1834,1388,1126,1274,21.95
2020-03-15,Lunch,Sunday,March,2020,1552,1236,84,125,4,381,1449,6,No,No,15,Sunny,29,0,46,Sports Day,No,South Indian,97,2176,881,1855,1922,5.55
2020-03-16,Lunch,Monday,March,2020,2195,1963,91,112,6,554,2172,7,No,No,7,Rainy,34,23,53,No Event,No,Fast Food,101,618,1998,2515,2575,8.45
2020-03-17,Lunch,Tuesday,March,2020,1993,1482,100,135,23,834,1740,2,No,No,14,Sunny,32,0,47,No Event,Yes,Indian,86,1342,1750,1982,2071,8.71
2020-03-18,Breakfast,Wednesday,March,2020,1610,1238,88,96,30,626,1452,5,No,No,5,Sunny,20,0,40,No Event,Yes,South Indian,112,2165,791,1192,1305,9.47
2020-03-19,Lunch,Thursday,March,2020,1877,1614,172,139,47,797,1972,3,No,No,9,Sunny,24,0,71,Cultural Fest,No,Indian,102,1023,751,2479,2619,14.13
2020-03-20,Breakfast,Friday,March,2020,1652,1527,170,138,29,883,1864,5,No,No,9,Sunny,31,0,64,No Event,No,Chinese,53,519,1958,1328,1463,19.86
2020-03-21,Dinner,Saturday,March,2020,1618,1094,96,68,42,929,1300,3,No,No,6,Sunny,19,0,68,Placement Drive,Yes,Chinese,118,781,665,930,1061,17.79
2020-03-22,Lunch,Sunday,March,2020,1649,1498,183,149,14,698,1844,2,No,No,9,Cloudy,26,0,50,No Event,No,Continental,119,1912,833,1666,1686,2.69
2020-03-23,Lunch,Monday,March,2020,2194,1948,103,148,35,849,2234,5,No,No,11,Sunny,28,0,81,No Event,Yes,Chinese,51,1319,1547,2667,2766,9.83
2020-03-24,Breakfast,Tuesday,March,2020,2338,1741,106,62,9,455,1918,7,No,No,6,Rainy,29,54,85,Cultural Fest,Yes,Indian,80,2176,1179,1800,1826,3.45
2020-03-25,Lunch,Wednesday,March,2020,1250,945,87,138,0,426,1170,7,No,No,2,Sunny,24,0,45,No Event,Yes,Indian,98,547,645,1347,1381,3.55
2020-03-26,Lunch,Thursday,March,2020,1409,935,123,94,6,576,1158,2,No,No,9,Cloudy,23,0,75,No Event,Yes,Fast Food,98,1986,1973,1527,1585,7.43
2020-03-27,Lunch,Friday,March,2020,2087,1366,141,81,43,326,1631,4,No,No,1,Rainy,35,38,69,No Event,No,Indian,55,1696,1101,1566,1712,14.37
2020-03-28,Lunch,Saturday,March,2020,2197,1742,108,79,25,867,1954,3,No,No,15,Rainy,20,47,86,No Event,No,South Indian,61,1077,617,2160,2182,1.95
2020-03-29,Dinner,Sunday,March,2020,2192,1487,162,134,42,936,1825,6,No,No,17,Sunny,36,0,67,No Event,No,South Indian,97,837,2199,1107,1127,1.82
2020-03-30,Lunch,Monday,March,2020,2049,1451,153,91,42,320,1737,5,No,No,7,Cloudy,29,0,53,No Event,Yes,Continental,114,1617,1969,1755,1895,12.02
2020-03-31,Breakfast,Tuesday,March,2020,1826,1650,103,121,48,825,1922,7,No,No,8,Sunny,36,0,75,No Event,No,Fast Food,47,2149,2250,1407,1484,10.22
2020-04-01,Lunch,Wednesday,April,2020,1878,1542,113,91,29,540,1775,2,No,No,3,Sunny,23,0,84,No Event,No,Indian,86,1205,686,1715,1846,17.11
2020-04-02,Lunch,Thursday,April,2020,1976,1660,199,56,0,406,1915,5,No,No,2,Cloudy,28,0,85,No Event,Yes,Indian,71,1715,2400,2183,2310,16.95
2020-04-03,Lunch,Friday,April,2020,2450,1730,139,52,14,881,1935,2,Yes,No,10,Cloudy,29,0,63,Placement Drive,Yes,South Indian,73,1923,1967,2844,2916,7.09
2020-04-04,Lunch,Saturday,April,2020,1862,1673,183,86,19,839,1961,4,No,Yes,10,Rainy,19,46,78,No Event,No,Indian,78,1831,1756,474,542,9.89
2020-04-05,Lunch,Sunday,April,2020,1467,1335,110,52,21,520,1518,6,Yes,No,7,Sunny,27,0,48,No Event,No,Chinese,94,1202,1839,1749,1810,8.02
2020-04-06,Lunch,Monday,April,2020,1315,1061,189,67,24,913,1341,5,No,No,16,Cloudy,30,0,71,Cultural Fest,No,Chinese,118,1085,1528,1711,1799,10.55
2020-04-07,Lunch,Tuesday,April,2020,1953,1804,194,91,49,366,2138,5,No,No,15,Sunny,34,0,78,Cultural Fest,Yes,Continental,115,725,941,2733,2820,9.99
2020-04-08,Breakfast,Wednesday,April,2020,2263,2044,83,58,35,935,2220,2,No,No,4,Cloudy,33,0,61,Convocation,No,Continental,68,2249,601,1659,1757,12.85
2020-04-09,Breakfast,Thursday,April,2020,1381,1200,184,106,36,541,1526,2,No,No,10,Sunny,37,0,48,No Event,Yes,Indian,93,934,1864,1082,1209,16.36
2020-04-10,Breakfast,Friday,April,2020,2432,2116,188,73,45,823,2422,5,Yes,No,3,Sunny,20,0,59,No Event,No,South Indian,102,1315,1500,1861,1984,10.97
2020-04-11,Lunch,Saturday,April,2020,2102,1432,174,56,44,695,1706,7,No,No,9,Rainy,28,10,57,Cultural Fest,No,Indian,77,1246,1856,2147,2181,4.52
2020-04-12,Lunch,Sunday,April,2020,2496,1825,88,146,26,502,2085,4,No,No,11,Sunny,36,0,50,No Event,No,Chinese,71,2165,1790,2157,2237,10.87
2020-04-13,Lunch,Monday,April,2020,2342,1569,169,138,18,519,1894,5,No,No,1,Sunny,26,0,72,No Event,No,Indian,80,1232,1376,1908,1934,3.12
2020-04-14,Dinner,Tuesday,April,2020,2145,1399,156,91,18,990,1664,3,No,No,10,Sunny,25,0,70,No Event,No,Indian,117,1045,1630,858,986,15.95
2020-04-15,Breakfast,Wednesday,April,2020,1457,1016,191,147,15,718,1369,7,No,No,15,Sunny,18,0,84,No Event,Yes,South Indian,95,622,2134,1143,1270,16.72
2020-04-16,Lunch,Thursday,April,2020,1708,1561,169,107,20,525,1857,3,No,No,14,Rainy,35,67,67,Convocation,Yes,Chinese,85,1580,1359,2913,3059,20.37
2020-04-17,Lunch,Friday,April,2020,1291,932,133,134,32,513,1231,5,No,No,15,Sunny,32,0,75,Cultural Fest,No,Continental,72,514,1139,1373,1464,9.91
2020-04-18,Breakfast,Saturday,April,2020,2384,2243,80,105,41,658,2469,4,Yes,No,4,Sunny,35,0,75,No Event,No,South Indian,105,1373,879,1963,2073,10.14
2020-04-19,Breakfast,Sunday,April,2020,1348,1117,183,107,30,800,1437,7,No,No,4,Sunny,18,0,88,No Event,No,Continental,46,2017,1133,780,901,11.61
2020-04-20,Breakfast,Monday,April,2020,1316,949,140,67,33,770,1189,2,No,Yes,14,Cloudy,32,0,41,No Event,No,Continental,88,2290,806,208,278,6.41
2020-04-21,Breakfast,Tuesday,April,2020,1657,1324,152,88,14,318,1578,7,No,No,5,Rainy,35,47,41,No Event,Yes,Chinese,67,1850,1002,1207,1308,10.91
2020-04-22,Dinner,Wednesday,April,2020,1764,1262,110,99,35,650,1506,2,No,No,17,Sunny,30,0,81,No Event,No,Chinese,77,1091,2368,912,1002,11.65
2020-04-23,Dinner,Thursday,April,2020,2013,1902,167,82,25,614,2176,5,No,Yes,2,Sunny,18,0,56,No Event,No,Chinese,107,996,1988,338,430,11.15
2020-04-24,Lunch,Friday,April,2020,1244,1124,124,77,29,975,1354,6,No,No,5,Rainy,30,50,52,No Event,No,Indian,48,2495,1198,1371,1431,7.97
2020-04-25,Dinner,Saturday,April,2020,1973,1297,192,105,30,513,1624,2,No,No,4,Sunny,30,0,61,No Event,Yes,Fast Food,60,1766,2230,1111,1172,6.86
2020-04-26,Dinner,Sunday,April,2020,1433,1338,139,74,24,791,1575,3,Yes,No,3,Sunny,33,0,80,No Event,No,South Indian,93,2486,1335,946,1095,15.86
2020-04-27,Breakfast,Monday,April,2020,1396,1209,165,63,3,521,1440,3,No,No,12,Rainy,33,5,62,No Event,No,Continental,112,834,1981,819,866,4.07
2020-04-28,Dinner,Tuesday,April,2020,1224,825,152,104,11,568,1092,6,No,No,3,Rainy,22,29,72,No Event,No,Continental,68,1675,1414,576,703,16.63
2020-04-29,Lunch,Wednesday,April,2020,1594,1356,182,133,18,383,1689,6,No,No,5,Sunny,37,0,40,No Event,No,Continental,57,755,1610,1488,1541,5.79
2020-04-30,Dinner,Thursday,April,2020,1913,1614,166,133,8,343,1921,3,No,No,11,Sunny,30,0,75,No Event,No,Continental,58,538,2147,910,1059,12.86
2020-05-01,Dinner,Friday,May,2020,2259,1616,163,56,24,887,1859,5,No,Yes,6,Cloudy,36,0,78,No Event,No,South Indian,70,1921,2415,274,351,6.33
2020-05-02,Lunch,Saturday,May,2020,1422,1247,198,53,47,460,1545,5,No,Yes,13,Sunny,30,0,75,Placement Drive,No,Fast Food,107,2115,1121,445,556,11.83
2020-05-03,Breakfast,Sunday,May,2020,2063,1394,121,144,46,676,1705,5,No,No,12,Sunny,24,0,74,No Event,No,Fast Food,55,1282,736,1240,1352,16.72
2020-05-04,Breakfast,Monday,May,2020,1729,1377,164,79,40,607,1660,3,No,No,16,Rainy,22,29,89,No Event,No,South Indian,64,1910,781,1259,1283,2.21
2020-05-05,Lunch,Tuesday,May,2020,2411,1574,106,111,49,416,1840,6,No,Yes,13,Cloudy,23,0,52,No Event,Yes,Fast Food,85,711,2077,608,669,6.69
2020-05-06,Dinner,Wednesday,May,2020,1456,1369,137,106,6,901,1618,4,No,No,3,Sunny,18,0,84,Placement Drive,No,Continental,96,2473,833,873,954,8.82
2020-05-07,Dinner,Thursday,May,2020,1853,1622,148,86,26,638,1882,3,No,No,12,Cloudy,37,0,61,No Event,Yes,Indian,79,1295,1446,1150,1212,8.25
2020-05-08,Breakfast,Friday,May,2020,2359,1645,160,104,47,949,1956,3,No,No,4,Cloudy,26,0,71,No Event,No,Chinese,45,644,2347,1318,1446,11.86
2020-05-09,Lunch,Saturday,May,2020,1790,1346,177,134,46,906,1703,2,No,No,4,Cloudy,30,0,82,No Event,No,South Indian,64,2263,1096,1896,2031,19.96
2020-05-10,Lunch,Sunday,May,2020,1643,1147,152,114,42,966,1455,5,No,No,9,Rainy,36,62,62,No Event,No,Fast Food,113,1524,958,1681,1779,9.22
2020-05-11,Breakfast,Monday,May,2020,1617,1422,113,101,5,624,1641,2,No,No,9,Rainy,21,48,79,No Event,No,Continental,117,531,2420,1055,1101,6.07
2020-05-12,Breakfast,Tuesday,May,2020,1773,1183,89,52,34,304,1358,7,No,No,10,Cloudy,32,0,42,No Event,No,Indian,96,916,1647,906,1014,13.68
2020-05-13,Lunch,Wednesday,May,2020,1328,1198,187,126,31,720,1542,7,No,No,10,Rainy,37,37,50,Sports Day,No,Continental,98,1135,1763,1586,1711,16.06
2020-05-14,Dinner,Thursday,May,2020,2210,2061,145,56,13,370,2275,3,No,Yes,8,Sunny,18,0,68,No Event,Yes,Indian,93,1092,2452,338,364,3.4
2020-05-15,Lunch,Friday,May,2020,1540,1313,190,119,5,403,1627,7,No,No,17,Sunny,30,0,80,No Event,No,Indian,75,1940,631,1640,1719,8.46
2020-05-16,Lunch,Saturday,May,2020,2009,1434,104,119,48,355,1705,3,No,No,12,Rainy,28,13,65,No Event,No,Continental,100,2232,739,1568,1679,15.1
2020-05-17,Lunch,Sunday,May,2020,2480,1879,82,83,17,606,2061,3,No,No,12,Rainy,21,6,52,No Event,No,Fast Food,68,2263,1806,2381,2481,8.45
2020-05-18,Lunch,Monday,May,2020,2191,1737,113,145,30,795,2025,4,No,No,2,Sunny,28,0,77,No Event,No,South Indian,97,2175,1211,2193,2290,12.35
2020-05-19,Dinner,Tuesday,May,2020,1299,1079,150,65,15,469,1309,2,No,No,3,Sunny,25,0,55,Sports Day,Yes,Continental,101,518,2480,894,960,6.77
2020-05-20,Dinner,Wednesday,May,2020,1238,1053,107,57,2,440,1219,6,No,No,15,Sunny,20,0,42,No Event,Yes,Continental,82,725,1929,711,758,3.82
2020-05-21,Breakfast,Thursday,May,2020,1462,1193,88,70,30,333,1381,5,No,No,2,Cloudy,27,0,60,No Event,Yes,Fast Food,104,1130,789,1195,1337,19.17
2020-05-22,Lunch,Friday,May,2020,1349,1019,90,60,37,655,1206,5,No,No,14,Sunny,28,0,83,Cultural Fest,No,South Indian,100,1585,1206,1640,1715,9.68
2020-05-23,Lunch,Saturday,May,2020,1889,1732,172,99,16,717,2019,4,No,Yes,15,Cloudy,22,0,45,No Event,No,South Indian,42,1381,2447,534,588,7.11
2020-05-24,Breakfast,Sunday,May,2020,2012,1356,197,136,4,352,1693,2,No,No,3,Cloudy,31,0,76,No Event,No,Indian,115,2255,2153,1132,1221,7.98
2020-05-25,Breakfast,Monday,May,2020,2343,1850,159,55,15,302,2079,5,No,No,16,Sunny,21,0,54,No Event,No,Chinese,49,1553,2052,1464,1540,9.91
2020-05-26,Lunch,Tuesday,May,2020,1418,1251,118,64,16,629,1449,3,No,No,7,Rainy,36,34,64,Sports Day,No,Chinese,42,2086,1798,1749,1808,8.39
2020-05-27,Lunch,Wednesday,May,2020,2105,1406,172,60,30,918,1668,2,No,No,3,Cloudy,29,0,68,Convocation,No,South Indian,68,1356,2414,2395,2434,5.17
2020-05-28,Breakfast,Thursday,May,2020,2346,2021,92,76,15,910,2204,7,No,No,3,Sunny,24,0,70,Convocation,Yes,Chinese,46,2003,1010,2234,2346,13.58
2020-05-29,Breakfast,Friday,May,2020,1443,1292,178,128,20,991,1618,5,No,No,5,Sunny,27,0,52,No Event,No,Continental,74,1421,2359,1037,1057,2.02
2020-05-30,Dinner,Saturday,May,2020,2085,1768,90,94,40,945,1992,2,No,No,17,Cloudy,37,0,78,No Event,No,Continental,64,1107,679,964,1105,13.91
2020-05-31,Breakfast,Sunday,May,2020,1786,1167,114,87,38,448,1406,4,No,No,2,Sunny,18,0,62,No Event,No,Chinese,72,1560,1206,1019,1140,12.95
2020-06-01,Breakfast,Monday,June,2020,1717,1208,190,53,36,805,1487,6,No,Yes,2,Sunny,22,0,68,No Event,No,Fast Food,40,1298,2051,288,385,8.81
2020-06-02,Lunch,Tuesday,June,2020,2244,1688,87,127,40,600,1942,6,No,No,12,Sunny,30,0,69,Cultural Fest,Yes,Indian,86,1345,2464,2794,2899,8.82
